title,price,reviews
Apple iPhone 14 (128 GB) - Midnight,"68,999.",912
Apple iPhone 14 Plus (256 GB) - Blue,"79,999.",540
Apple iPhone 14 (128 GB) - Midnight,"68,999.",912
Apple iPhone 14 (128 GB) - Starlight,"68,999",912
Apple iPhone 14 (128 GB) - Purple,"86,999",912
Apple iPhone 14 (128 GB) - Blue,"68,999",912
Apple iPhone 14 (128 GB) - (Product) RED,"68,999",912
Apple iPhone 14 (256 GB) - Starlight,"68,999",912
Apple iPhone 14 (128 GB) - Yellow,"68,999",912
Apple iPhone 14 (256 GB) - Purple,"69,999",912
Apple iPhone 14 (256 GB) - Midnight,"79,999",912
Apple iPhone 14 (256 GB) - (Product) RED,"69,999",912
Apple iPhone 14 (256 GB) - Yellow,"79,999",912
Apple iPhone 14 Plus (128 GB) - Blue,"79,999",540
Apple iPhone 14 (512 GB) - Starlight,"79,999",912
Apple iPhone 14 Plus (128 GB) - Purple,"79,999",540
Apple iPhone 14 (512 GB) - Blue,"76,999",912
Apple iPhone 14 (512 GB) - Purple,"97,999",912
